0,MULTI_RES,SINGLE_RES,HOTEL,OFFICE,RETAIL,FOODSTORE,RESTAURANT,INDUSTRIAL,SCHOOL,HOSPITAL,GYM
1973,1.0,1.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1974,0.8,0.8,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
1975,0.6,0.6,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.4
1976,0.4,0.4,0.1,0.0,0.0,0.0,0.23,0.0,0.0,0.68,0.64
1977,0.4,0.4,0.04,0.0,0.0,0.0,0.23,0.0,0.0,0.76,0.8
1978,0.4,0.4,0.04,0.0,0.0,0.0,0.23,0.0,0.0,0.84,0.8
1979,0.4,0.4,0.04,0.0,0.0,0.0,0.32,0.0,0.0,0.84,0.64
1980,0.6,0.6,0.04,0.0,0.0,0.0,0.83,0.0,0.0,0.76,0.0
1981,0.4,0.4,0.04,0.0,0.0,0.0,0.43,0.0,0.0,0.76,0.64
1982,0.4,0.4,0.04,0.0,0.0,0.0,0.06,0.0,0.0,0.84,0.8
1983,0.4,0.4,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.8
1984,0.6,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.64
1985,0.8,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.4
1986,0.8,0.8,0.1,0.0,0.0,0.0,0.23,0.0,0.0,0.48,0.64
1987,0.8,0.8,0.1,0.0,0.0,0.0,0.29,0.0,0.0,0.44,0.64
