DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
20.22,3664409.13,1248521.0,2032723112.61,0.0
16.75,765096.41,260680.21,135875525.4,0.0
18.43,0.0,0.0,518449780.06,0.0
20.09,3664409.13,1248521.0,1999881525.65,0.0
19.93,3664409.13,1248521.0,1124320404.8,0.0
19.47,3664409.13,1248521.0,2366484439.37,0.0
19.59,3664409.13,1248521.0,2512127539.47,0.0
19.82,3664409.13,1248521.0,1740514469.38,0.0
18.02,765096.41,260680.21,591915197.16,0.0
19.24,0.0,0.0,594306297.58,0.0
20.76,3664409.13,1248521.0,1128875764.41,0.0
19.88,3664409.13,1248521.0,1571784019.15,0.0
20.25,3664409.13,1248521.0,1572127264.55,0.0
20.79,3664409.13,1248521.0,1280562082.61,0.0
21.21,3664409.13,1248521.0,1224619700.73,0.0
15.95,765096.41,260680.21,33401125.76,0.0
15.75,0.0,0.0,335546650.93,0.0
19.56,3664409.13,1248521.0,2164852356.13,0.0
19.48,3664409.13,1248521.0,2725760050.35,0.0
19.53,3664409.13,1248521.0,3052650405.88,0.0
19.35,3664409.13,1248521.0,3562377637.02,0.0
19.35,3664409.13,1248521.0,3725146650.18,0.0
15.11,765096.41,260680.21,1434086907.23,0.0
15.8,0.0,0.0,689705661.52,0.0
19.31,3664409.13,1248521.0,4536266948.28,0.0
19.28,3664409.13,1248521.0,4516616212.61,0.0
19.37,3664409.13,1248521.0,4934594304.76,0.0
19.26,3664409.13,1248521.0,4929399201.21,0.0
19.3,3664409.13,1248521.0,4918893911.25,0.0
15.0,765096.41,260680.21,2183589952.55,0.0
15.0,0.0,0.0,1581061919.03,0.0
19.34,3664409.13,1248521.0,3600565638.86,0.0
19.39,3664409.13,1248521.0,3892993065.74,0.0
19.32,3664409.13,1248521.0,3919501327.17,0.0
19.3,3664409.13,1248521.0,4824788986.9,0.0
19.3,3664409.13,1248521.0,4906716132.56,0.0
15.17,765096.41,260680.21,2101738815.09,0.0
15.24,0.0,0.0,964557329.47,0.0
19.25,3664409.13,1248521.0,5268016800.91,0.0
19.26,3664409.13,1248521.0,5542857973.14,0.0
19.29,3664409.13,1248521.0,5973576419.95,0.0
19.26,3664409.13,1248521.0,4886469012.47,0.0
19.3,3664409.13,1248521.0,5502057930.51,0.0
15.0,765096.41,260680.21,1646654828.57,0.0
15.0,0.0,0.0,2183535722.24,0.0
19.26,3664409.13,1248521.0,5171853482.23,0.0
19.25,3664409.13,1248521.0,5531829415.68,0.0
19.34,3664409.13,1248521.0,4836394325.91,0.0
19.29,3664409.13,1248521.0,4349190663.01,0.0
19.4,3664409.13,1248521.0,4680709416.98,0.0
15.42,765096.41,260680.21,603973957.94,0.0
15.09,0.0,0.0,941697119.82,0.0
19.21,3664409.13,1248521.0,6701210031.62,0.0
19.3,3664409.13,1248521.0,6917299557.86,0.0
19.2,3664409.13,1248521.0,7206896490.33,0.0
19.27,3664409.13,1248521.0,5225764737.68,0.0
19.2,3664409.13,1248521.0,7291219726.58,0.0
15.0,765096.41,260680.21,6446888823.66,0.0
15.0,0.0,0.0,6074906580.65,0.0
19.19,3664409.13,1248521.0,8763888037.19,0.0
19.19,3664409.13,1248521.0,8264154642.54,0.0
19.21,3664409.13,1248521.0,7487994238.48,0.0
19.23,3664409.13,1248521.0,5914951238.24,0.0
19.28,3664409.13,1248521.0,5430187191.15,0.0
15.0,765096.41,260680.21,2646197559.65,0.0
15.0,0.0,0.0,3080200129.86,0.0
19.27,3664409.13,1248521.0,5078719936.1,0.0
19.23,3664409.13,1248521.0,6131562844.44,0.0
19.25,3664409.13,1248521.0,6861181917.56,0.0
19.22,3664409.13,1248521.0,6605427392.24,0.0
19.19,3664409.13,1248521.0,7566383075.86,0.0
15.0,765096.41,260680.21,5181475944.24,0.0
15.0,0.0,0.0,4379182465.76,0.0
19.19,3664409.13,1248521.0,7970812962.93,0.0
19.16,3664409.13,1248521.0,10146791429.2,0.0
19.15,3664409.13,1248521.0,12272129044.4,0.0
19.17,3664409.13,1248521.0,11136781787.9,0.0
19.17,3664409.13,1248521.0,10199126455.7,0.0
15.0,765096.41,260680.21,8828085173.79,0.0
15.0,0.0,0.0,8019214297.88,0.0
19.17,3664409.13,1248521.0,10716914585.8,0.0
19.21,3664409.13,1248521.0,9250221141.49,0.0
19.19,3664409.13,1248521.0,8190506572.36,0.0
19.23,3664409.13,1248521.0,7088804473.66,0.0
19.19,3664409.13,1248521.0,8622317707.98,0.0
15.0,765096.41,260680.21,5384861699.35,0.0
15.0,0.0,0.0,5308945198.83,0.0
19.21,3664409.13,1248521.0,7872166383.69,0.0
19.2,3664409.13,1248521.0,7939717778.59,0.0
19.19,3664409.13,1248521.0,8414849559.28,0.0
19.2,3664409.13,1248521.0,8329079802.21,0.0
19.18,3664409.13,1248521.0,8997923669.1,0.0
15.0,765096.41,260680.21,7390613531.53,0.0
15.0,0.0,0.0,6533468426.32,0.0
19.18,3664409.13,1248521.0,9365152840.84,0.0
19.18,3664409.13,1248521.0,10141712120.9,0.0
19.18,3664409.13,1248521.0,9778497081.87,0.0
19.18,3664409.13,1248521.0,7820579177.8,0.0
19.2,3664409.13,1248521.0,8901708714.03,0.0
15.0,765096.41,260680.21,5202531189.69,0.0
15.0,0.0,0.0,3996579493.72,0.0
