Date/Time,DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
 01/09  13:00:00,22.0,201341.16,68600.05,491677323.41,0.0
 01/09  14:00:00,22.0,382548.21,130340.1,471677440.65,0.0
 01/09  15:00:00,22.0,382548.21,130340.1,460837440.44,0.0
 01/09  16:00:00,22.0,382548.21,130340.1,449776118.45,0.0
 01/09  17:00:00,22.0,382548.21,130340.1,449955954.24,0.0
 01/09  18:00:00,22.0,120804.7,41160.03,456343032.2,0.0
 01/09  19:00:00,22.0,40268.23,13720.01,463446106.06,0.0
 01/09  20:00:00,17.26,40268.23,13720.01,72132666.89,0.0
 01/09  21:00:00,15.0,20134.12,6860.01,332111505.11,0.0
 01/09  22:00:00,15.0,20134.12,6860.01,349811119.18,0.0
 01/09  23:00:00,15.0,20134.12,6860.01,368932761.81,0.0
 01/09  24:00:00,15.0,20134.12,6860.01,387661944.0,0.0
 01/10  01:00:00,15.0,0.0,0.0,406905367.68,0.0
 01/10  02:00:00,15.0,0.0,0.0,403860959.06,0.0
 01/10  03:00:00,15.0,0.0,0.0,385187128.69,0.0
 01/10  04:00:00,15.0,0.0,0.0,367046270.9,0.0
 01/10  05:00:00,15.0,0.0,0.0,360627912.51,0.0
 01/10  06:00:00,21.91,0.0,0.0,784136089.44,0.0
 01/10  07:00:00,22.0,40268.23,13720.01,527202699.13,0.0
 01/10  08:00:00,22.0,80536.46,27440.02,517254703.16,0.0
 01/10  09:00:00,22.0,382548.21,130340.1,501957122.1,0.0
 01/10  10:00:00,22.0,382548.21,130340.1,486877084.86,0.0
 01/10  11:00:00,22.0,382548.21,130340.1,471754454.65,0.0
 01/10  12:00:00,22.0,382548.21,130340.1,455224143.94,0.0
 01/10  13:00:00,22.0,201341.16,68600.05,439626104.16,0.0
 01/10  14:00:00,22.0,382548.21,130340.1,435419895.79,0.0
 01/10  15:00:00,22.0,382548.21,130340.1,436257118.57,0.0
 01/10  16:00:00,22.0,382548.21,130340.1,437487862.77,0.0
 01/10  17:00:00,22.0,382548.21,130340.1,457012483.72,0.0
 01/10  18:00:00,22.0,120804.7,41160.03,489108373.75,0.0
 01/10  19:00:00,22.0,40268.23,13720.01,520503032.76,0.0
 01/10  20:00:00,16.94,40268.23,13720.01,121283599.66,0.0
 01/10  21:00:00,15.0,20134.12,6860.01,383643872.45,0.0
 01/10  22:00:00,15.0,20134.12,6860.01,393934019.62,0.0
 01/10  23:00:00,15.0,20134.12,6860.01,405911954.39,0.0
 01/10  24:00:00,15.0,20134.12,6860.01,418738739.9,0.0
 01/11  01:00:00,15.0,0.0,0.0,431458733.82,0.0
 01/11  02:00:00,15.0,0.0,0.0,437607346.55,0.0
 01/11  03:00:00,15.0,0.0,0.0,427489917.07,0.0
 01/11  04:00:00,15.0,0.0,0.0,408470671.75,0.0
 01/11  05:00:00,15.0,0.0,0.0,408816629.52,0.0
 01/11  06:00:00,21.91,0.0,0.0,844916489.84,0.0
 01/11  07:00:00,22.0,40268.23,13720.01,600023416.78,0.0
 01/11  08:00:00,22.0,80536.46,27440.02,601124019.11,0.0
 01/11  09:00:00,22.0,382548.21,130340.1,595444917.7,0.0
 01/11  10:00:00,22.0,382548.21,130340.1,590019356.53,0.0
 01/11  11:00:00,22.0,382548.21,130340.1,573112608.93,0.0
 01/11  12:00:00,22.0,382548.21,130340.1,548232668.55,0.0
 01/11  13:00:00,22.0,201341.16,68600.05,524246480.29,0.0
 01/11  14:00:00,22.0,382548.21,130340.1,511880687.35,0.0
 01/11  15:00:00,22.0,382548.21,130340.1,505014974.12,0.0
 01/11  16:00:00,22.0,382548.21,130340.1,498727310.38,0.0
 01/11  17:00:00,22.0,382548.21,130340.1,512302880.75,0.0
 01/11  18:00:00,22.0,120804.7,41160.03,536129718.52,0.0
