HOY,xP,yP,zP,xV,yV,zV,,,
398,-67129.80802,-176534.319,65796.83204,0.33564904,0.882671595,-0.32898416,-200000.00000,-200000,-200000
399,-110024.3594,-159336.9519,50063.7203,0.550121797,0.79668476,-0.250318601,-200000.00000,-200000,-200000
400,-145428.6335,-134542.5671,27364.39673,0.727143167,0.672712836,-0.136821984,-200000.00000,-200000,-200000
417,151540.3323,-128564.3865,22510.57984,-0.757701661,0.642821933,-0.112552899,-200000.00000,-200000,-200000
418,117929.164,-154692.6573,46506.92463,-0.58964582,0.773463287,-0.232534623,-200000.00000,-200000,-200000
419,76280.71943,-173521.1392,63809.60815,-0.381403597,0.867605696,-0.319048041,-200000.00000,-200000,-200000
420,29431.26603,-183765.1164,73240.58004,-0.14715633,0.918825582,-0.3662029,-200000.00000,-200000,-200000
421,-19428.30817,-184724.5182,74157.89386,0.097141541,0.923622591,-0.370789469,-200000.00000,-200000,-200000
422,-66969.82319,-176331.6747,66499.49824,0.334849116,0.881658374,-0.332497491,-200000.00000,-200000,-200000
423,-109954.5128,-159155.9988,50787.52954,0.549772564,0.795779994,-0.253937648,-200000.00000,-200000,-200000
424,-145453.6652,-134365.2684,28092.80929,0.727268326,0.671826342,-0.140464046,-200000.00000,-200000,-200000
441,151895.3512,-128064.2406,22964.15846,-0.759476756,0.640321203,-0.114820792,-200000.00000,-200000,-200000
442,118287.9925,-154261.4726,47024.98161,-0.591439963,0.771307363,-0.235124908,-200000.00000,-200000,-200000
443,76618.69432,-173157.2308,64390.59794,-0.383093472,0.865786154,-0.32195299,-200000.00000,-200000,-200000
444,29725.17412,-183462.1344,73878.67936,-0.148625871,0.917310672,-0.369393397,-200000.00000,-200000,-200000
445,-19198.63561,-184471.8871,74843.40481,0.095993178,0.922359436,-0.374217024,-200000.00000,-200000,-200000
446,-66820.12635,-176115.3236,67219.51742,0.334100632,0.880576618,-0.336097587,-200000.00000,-200000,-200000
447,-109895.0246,-158959.3301,51526.83708,0.549475123,0.794796651,-0.257634185,-200000.00000,-200000,-200000
448,-145488.4116,-134170.3011,28834.91642,0.727442058,0.670851505,-0.144174582,-200000.00000,-200000,-200000
449,-171174.6948,-103434.7495,690.2432811,0.855873474,0.517173748,-0.003451216,-200000.00000,-200000,-200000
465,152248.9773,-127556.9483,23440.859,-0.761244886,0.637784741,-0.117204295,-200000.00000,-200000,-200000
466,118642.7792,-153822.6191,47565.6683,-0.593213896,0.769113096,-0.237828341,-200000.00000,-200000,-200000
467,76950.25593,-172784.6411,64993.2758,-0.38475128,0.863923206,-0.324966379,-200000.00000,-200000,-200000
468,30010.73874,-183149.0386,74537.13993,-0.150053694,0.915745193,-0.3726857,-200000.00000,-200000,-200000
469,-18978.66227,-184207.3888,75547.65583,0.094893311,0.921036944,-0.377738279,-200000.00000,-200000,-200000
470,-66680.81636,-175885.1517,67956.47231,0.333404082,0.879425759,-0.339782362,-200000.00000,-200000,-200000
471,-109845.895,-158746.8228,52281.21657,0.549229475,0.793734114,-0.261406083,-200000.00000,-200000,-200000
472,-145532.7744,-133957.5519,29590.30033,0.727663872,0.669787759,-0.147951502,-200000.00000,-200000,-200000
473,-171309.4336,-103203.8396,1430.19991,0.856547168,0.516019198,-0.007151,-200000.00000,-200000,-200000
489,152600.8327,-127042.6632,23940.50114,-0.763004163,0.635213316,-0.119702506,-200000.00000,-200000,-200000
490,118993.1614,-153376.1785,48128.73794,-0.594965807,0.766880892,-0.24064369,-200000.00000,-200000,-200000
491,77275.08199,-172403.3853,65617.33351,-0.38637541,0.862016926,-0.328086668,-200000.00000,-200000,-200000
492,30287.70005,-182825.7874,75215.60126,-0.1514385,0.914128937,-0.376078006,-200000.00000,-200000,-200000
493,-18768.56769,-183930.9389,76270.24695,0.093842838,0.919654695,-0.381351235,-200000.00000,-200000,-200000
494,-66551.98013,-175641.0494,68709.93889,0.332759901,0.878205247,-0.343549694,-200000.00000,-200000,-200000
495,-109807.1125,-158518.3598,53050.23707,0.549035563,0.792591799,-0.265251185,-200000.00000,-200000,-200000
496,-145586.6442,-133726.9159,30358.54071,0.727933221,0.668634579,-0.151792704,-200000.00000,-200000,-200000
497,-171452.1836,-102953.3392,2181.437155,0.857260918,0.514766696,-0.010907186,-200000.00000,-200000,-200000
513,152950.5414,-126521.5351,24462.89094,-0.764752707,0.632607676,-0.122314455,-200000.00000,-200000,-200000
